model,dataset,accuracy,macro_f1,weighted_f1,exact_match_rate,exact_match_count,record_count,note
BiLSTM-CRF,internal_test_250,0.9107656879677605,0.9122731397198092,0.9093440446222355,0.672,168,250,trained_in_current_run
mBERT,internal_test_250,0.9499136442141624,0.9489233421521988,0.949959759986804,0.804,201,250,transformer_baseline_previous_run
XLM-RoBERTa-base,internal_test_250,0.953943580886586,0.9421267397031355,0.9533667764903334,0.788,197,250,transformer_baseline_previous_run
BERTurk,internal_test_250,0.9620034542314335,0.9624039455077547,0.961612922520556,0.824,206,250,berturk_previous_run
BiLSTM-CRF,challenge_gold_100,0.7587719298245614,0.6949098402771149,0.7574517907631237,0.3,30,100,trained_in_current_run
mBERT,challenge_gold_100,0.8421052631578947,0.7872769705779662,0.8399997346396217,0.52,52,100,transformer_baseline_previous_run
XLM-RoBERTa-base,challenge_gold_100,0.8355263157894737,0.7852725165411956,0.8335192794269372,0.51,51,100,transformer_baseline_previous_run
BERTurk,challenge_gold_100,0.8848684210526315,0.8280948408865846,0.883486519994078,0.6,60,100,berturk_previous_run
BiLSTM-CRF,challenge_gold_filtered_99,0.7599557522123894,0.6980757078292754,0.7587900876717107,0.30303030303030304,30,99,trained_in_current_run
mBERT,challenge_gold_filtered_99,0.8407079646017699,0.7852534783123739,0.8385272877581071,0.5151515151515151,51,99,transformer_baseline_previous_run
XLM-RoBERTa-base,challenge_gold_filtered_99,0.834070796460177,0.7817705329493247,0.8320095980179717,0.5050505050505051,50,99,transformer_baseline_previous_run
BERTurk,challenge_gold_filtered_99,0.8838495575221239,0.8263004035826549,0.8823892827211492,0.5959595959595959,59,99,berturk_previous_run
